id,date_time,temperature,humidity,wind_speed,weather_description,clouds
25,2025-02-26 15:00:00,8.11,80,3.6,scattered clouds,40
26,2025-02-26 16:00:00,8.16,78,6.17,few clouds,20
27,2025-02-26 17:00:00,6.91,78,4.12,few clouds,20
28,2025-02-26 18:00:00,5.36,78,4.12,broken clouds,75
29,2025-02-26 19:00:00,3.58,73,4.85,overcast clouds,89
30,2025-02-26 20:00:00,4.53,86,4.12,few clouds,20
31,2025-02-26 21:00:00,4.23,77,4.63,few clouds,20
32,2025-02-26 22:00:00,3.92,80,4.12,clear sky,0
33,2025-02-26 23:00:00,3.74,79,4.63,clear sky,0
34,2025-02-27 00:00:00,3.32,78,3.09,clear sky,0
35,2025-02-27 01:00:00,3.27,82,3.6,clear sky,0
36,2025-02-27 02:00:00,3.59,82,3.09,clear sky,0
37,2025-02-27 03:00:00,4.12,81,4.63,scattered clouds,40
38,2025-02-27 04:00:00,4.28,81,3.09,broken clouds,75
39,2025-02-27 05:00:00,4.39,80,3.09,broken clouds,75
40,2025-02-27 06:00:00,4.37,87,5.66,scattered clouds,40
41,2025-02-27 07:00:00,4.21,88,4.63,broken clouds,75
42,2025-02-27 08:00:00,4.57,82,4.12,scattered clouds,40
43,2025-02-27 09:00:00,5.13,79,6.69,broken clouds,75
44,2025-02-27 10:00:00,5.7,75,5.66,broken clouds,75
45,2025-02-27 11:00:00,6.97,72,5.14,broken clouds,75
46,2025-02-27 12:00:00,8.18,67,5.66,scattered clouds,40
47,2025-02-27 13:00:00,8.02,63,6.69,broken clouds,75
48,2025-02-27 14:00:00,9.16,59,7.2,broken clouds,75
49,2025-02-25 15:00:00,10.09,62,6.17,few clouds,20
50,2025-02-25 16:00:00,10.01,61,4.12,few clouds,20
51,2025-02-25 17:00:00,9.42,63,4.63,few clouds,20
52,2025-02-25 18:00:00,8.0,68,3.09,few clouds,20
53,2025-02-25 19:00:00,6.28,71,2.06,clear sky,0
54,2025-02-25 20:00:00,5.99,77,2.57,few clouds,20
55,2025-02-25 21:00:00,5.7,78,3.6,few clouds,20
56,2025-02-25 22:00:00,4.88,80,4.12,clear sky,0
57,2025-02-25 23:00:00,4.64,82,3.6,few clouds,20
58,2025-02-26 00:00:00,3.78,83,2.06,clear sky,0
59,2025-02-26 01:00:00,2.94,76,1.54,clear sky,0
60,2025-02-26 02:00:00,3.12,82,2.57,clear sky,0
61,2025-02-26 03:00:00,2.14,81,2.57,clear sky,0
62,2025-02-26 04:00:00,2.56,77,2.06,clear sky,0
63,2025-02-26 05:00:00,2.82,77,2.06,clear sky,0
64,2025-02-26 06:00:00,2.54,91,2.57,clear sky,0
65,2025-02-26 07:00:00,3.63,91,5.14,clear sky,0
66,2025-02-26 08:00:00,4.55,85,5.14,few clouds,20
67,2025-02-26 09:00:00,5.67,83,7.72,scattered clouds,40
68,2025-02-26 10:00:00,6.69,84,7.72,moderate rain,75
69,2025-02-26 11:00:00,7.41,81,8.23,light intensity drizzle rain,75
70,2025-02-26 12:00:00,6.97,84,10.8,light intensity drizzle rain,75
71,2025-02-26 13:00:00,6.99,83,7.2,light rain,75
72,2025-02-26 14:00:00,7.48,83,4.12,light rain,75
73,2025-02-24 15:00:00,11.53,77,7.2,light rain,20
74,2025-02-24 16:00:00,11.35,75,5.66,few clouds,20
75,2025-02-24 17:00:00,10.79,74,4.12,scattered clouds,40
76,2025-02-24 18:00:00,9.13,75,4.63,few clouds,20
77,2025-02-24 19:00:00,8.31,80,4.63,clear sky,0
78,2025-02-24 20:00:00,7.85,79,5.14,clear sky,0
79,2025-02-24 21:00:00,7.14,83,5.66,few clouds,20
80,2025-02-24 22:00:00,7.69,81,6.69,broken clouds,75
81,2025-02-24 23:00:00,7.79,83,6.17,broken clouds,75
82,2025-02-25 00:00:00,7.83,81,3.09,broken clouds,75
83,2025-02-25 01:00:00,8.02,82,3.09,broken clouds,75
84,2025-02-25 02:00:00,7.87,79,4.12,broken clouds,75
85,2025-02-25 03:00:00,7.77,83,2.57,broken clouds,75
86,2025-02-25 04:00:00,7.57,79,1.54,scattered clouds,40
87,2025-02-25 05:00:00,6.95,78,2.06,scattered clouds,40
88,2025-02-25 06:00:00,6.55,90,1.03,scattered clouds,40
89,2025-02-25 07:00:00,6.4,90,1.54,light rain,75
90,2025-02-25 08:00:00,6.43,80,2.57,broken clouds,75
91,2025-02-25 09:00:00,7.07,82,3.09,light rain,75
92,2025-02-25 10:00:00,8.23,79,3.09,clear sky,0
93,2025-02-25 11:00:00,8.99,74,4.12,few clouds,20
94,2025-02-25 12:00:00,9.82,73,4.63,scattered clouds,40
95,2025-02-25 13:00:00,10.01,67,4.12,scattered clouds,40
96,2025-02-25 14:00:00,10.09,60,4.12,few clouds,20
97,2025-02-23 15:00:00,9.95,74,11.32,broken clouds,75
98,2025-02-23 16:00:00,10.04,78,12.35,light intensity drizzle,40
99,2025-02-23 17:00:00,9.99,79,12.86,broken clouds,75
100,2025-02-23 18:00:00,9.88,81,12.86,light intensity drizzle rain,75
101,2025-02-23 19:00:00,9.65,79,13.38,broken clouds,75
102,2025-02-23 20:00:00,10.07,81,13.89,light rain,75
103,2025-02-23 21:00:00,9.98,81,12.86,light rain,75
104,2025-02-23 22:00:00,10.07,81,12.35,broken clouds,75
105,2025-02-23 23:00:00,9.9,82,7.2,light rain,75
106,2025-02-24 00:00:00,9.51,78,7.2,moderate rain,75
107,2025-02-24 01:00:00,9.79,82,7.72,moderate rain,75
108,2025-02-24 02:00:00,9.81,82,7.2,moderate rain,75
109,2025-02-24 03:00:00,9.91,83,7.72,moderate rain,75
110,2025-02-24 04:00:00,9.71,83,7.2,light rain,75
111,2025-02-24 05:00:00,9.8,82,7.2,moderate rain,75
112,2025-02-24 06:00:00,9.78,89,7.2,moderate rain,75
113,2025-02-24 07:00:00,9.4,92,8.75,moderate rain,75
114,2025-02-24 08:00:00,8.93,93,5.66,moderate rain,75
115,2025-02-24 09:00:00,8.99,81,4.12,light rain,20
116,2025-02-24 10:00:00,9.65,83,5.14,scattered clouds,40
117,2025-02-24 11:00:00,10.65,90,7.72,few clouds,20
118,2025-02-24 12:00:00,10.67,80,6.69,broken clouds,75
119,2025-02-24 13:00:00,11.96,76,6.17,broken clouds,75
120,2025-02-24 14:00:00,13.22,69,6.69,few clouds,20
121,2025-02-22 15:00:00,12.92,70,4.12,scattered clouds,40
122,2025-02-22 16:00:00,12.62,66,5.14,few clouds,20
123,2025-02-22 17:00:00,11.76,68,3.09,few clouds,20
124,2025-02-22 18:00:00,10.16,72,4.12,light rain,0
125,2025-02-22 19:00:00,9.01,78,4.12,clear sky,0
126,2025-02-22 20:00:00,8.2,78,4.12,clear sky,0
127,2025-02-22 21:00:00,7.66,78,4.12,clear sky,0
128,2025-02-22 22:00:00,6.7,79,4.12,clear sky,0
129,2025-02-22 23:00:00,5.99,76,1.54,fog,1
130,2025-02-23 00:00:00,6.34,78,1.54,fog,100
131,2025-02-23 01:00:00,6.51,84,2.57,mist,100
132,2025-02-23 02:00:00,6.94,83,2.57,broken clouds,75
133,2025-02-23 03:00:00,7.02,83,3.09,broken clouds,75
134,2025-02-23 04:00:00,7.2,82,3.46,clear sky,4
135,2025-02-23 05:00:00,8.18,79,3.09,broken clouds,75
136,2025-02-23 06:00:00,8.44,89,3.09,broken clouds,75
137,2025-02-23 07:00:00,7.75,89,2.57,few clouds,20
138,2025-02-23 08:00:00,8.08,81,8.23,few clouds,20
139,2025-02-23 09:00:00,8.98,81,8.23,few clouds,20
140,2025-02-23 10:00:00,9.48,79,7.72,few clouds,20
141,2025-02-23 11:00:00,9.42,74,11.32,few clouds,20
142,2025-02-23 12:00:00,10.19,76,9.77,scattered clouds,40
143,2025-02-23 13:00:00,10.02,73,10.8,scattered clouds,40
144,2025-02-23 14:00:00,9.99,73,9.77,broken clouds,75
145,2025-02-21 15:00:00,13.51,71,9.77,few clouds,20
146,2025-02-21 16:00:00,12.3,75,9.26,light intensity drizzle,20
147,2025-02-21 17:00:00,11.6,79,7.72,light rain,40
148,2025-02-21 18:00:00,11.4,81,8.23,light rain,20
149,2025-02-21 19:00:00,11.35,84,7.72,light intensity drizzle rain,40
150,2025-02-21 20:00:00,11.36,81,8.23,light rain,40
151,2025-02-21 21:00:00,11.17,84,8.23,moderate rain,40
152,2025-02-21 22:00:00,10.97,82,5.66,moderate rain,75
153,2025-02-21 23:00:00,10.74,82,5.14,moderate rain,75
154,2025-02-22 00:00:00,10.35,79,3.6,light rain,75
155,2025-02-22 01:00:00,10.16,83,2.06,moderate rain,40
156,2025-02-22 02:00:00,9.73,83,2.06,moderate rain,75
157,2025-02-22 03:00:00,9.56,79,2.57,light rain,75
158,2025-02-22 04:00:00,9.65,83,2.57,moderate rain,75
159,2025-02-22 05:00:00,9.65,87,3.09,light rain,75
160,2025-02-22 06:00:00,9.37,87,2.06,broken clouds,75
161,2025-02-22 07:00:00,9.11,93,1.54,broken clouds,75
162,2025-02-22 08:00:00,9.24,88,2.06,broken clouds,75
163,2025-02-22 09:00:00,9.54,81,3.09,scattered clouds,40
164,2025-02-22 10:00:00,9.86,84,3.09,broken clouds,75
165,2025-02-22 11:00:00,10.26,82,3.6,broken clouds,75
166,2025-02-22 12:00:00,10.89,82,3.6,broken clouds,75
167,2025-02-22 13:00:00,11.54,77,4.12,scattered clouds,40
168,2025-02-22 14:00:00,12.25,76,4.63,scattered clouds,40
169,2025-02-20 15:00:00,11.69,80,9.77,mist,75
170,2025-02-20 16:00:00,11.92,83,8.23,light intensity drizzle rain,75
171,2025-02-20 17:00:00,11.65,82,9.77,mist,75
172,2025-02-20 18:00:00,11.47,82,9.77,mist,75
173,2025-02-20 19:00:00,11.73,85,9.77,mist,75
174,2025-02-20 20:00:00,11.56,81,6.17,light intensity drizzle,75
175,2025-02-20 21:00:00,11.37,85,5.14,broken clouds,75
176,2025-02-20 22:00:00,11.28,85,6.69,light intensity drizzle,75
177,2025-02-20 23:00:00,11.19,85,8.23,mist,100
178,2025-02-21 00:00:00,11.24,84,5.14,light intensity drizzle,100
179,2025-02-21 01:00:00,11.49,79,4.63,light intensity drizzle,100
180,2025-02-21 02:00:00,11.53,82,5.14,light intensity drizzle,100
181,2025-02-21 03:00:00,11.63,82,5.14,overcast clouds,100
182,2025-02-21 04:00:00,11.48,82,6.69,broken clouds,75
183,2025-02-21 05:00:00,11.59,88,6.17,broken clouds,75
184,2025-02-21 06:00:00,11.6,89,5.66,broken clouds,75
185,2025-02-21 07:00:00,11.5,92,8.75,overcast clouds,100
186,2025-02-21 08:00:00,11.72,92,9.77,light intensity drizzle rain,100
187,2025-02-21 09:00:00,11.63,83,10.8,light intensity drizzle,75
188,2025-02-21 10:00:00,13.16,82,9.77,broken clouds,75
189,2025-02-21 11:00:00,13.38,79,7.2,few clouds,20
190,2025-02-21 12:00:00,13.83,77,9.26,few clouds,20
191,2025-02-21 13:00:00,14.26,74,8.75,few clouds,20
192,2025-02-21 14:00:00,14.02,70,11.32,scattered clouds,40
193,2025-02-19 15:00:00,8.29,68,4.12,clear sky,0
194,2025-02-19 16:00:00,7.99,71,3.09,clear sky,0
195,2025-02-19 17:00:00,7.78,73,3.6,clear sky,0
196,2025-02-19 18:00:00,7.23,73,5.66,clear sky,0
197,2025-02-19 19:00:00,6.74,79,8.23,clear sky,0
198,2025-02-19 20:00:00,6.65,81,6.69,few clouds,20
199,2025-02-19 21:00:00,6.77,81,3.6,few clouds,20
200,2025-02-19 22:00:00,7.44,79,3.6,broken clouds,75
201,2025-02-19 23:00:00,7.35,78,6.17,broken clouds,75
202,2025-02-20 00:00:00,7.87,76,2.06,moderate rain,20
203,2025-02-20 01:00:00,8.42,78,2.57,light rain,40
204,2025-02-20 02:00:00,8.71,78,3.09,broken clouds,75
205,2025-02-20 03:00:00,8.94,79,4.63,broken clouds,75
206,2025-02-20 04:00:00,8.91,80,4.63,light intensity drizzle,75
207,2025-02-20 05:00:00,9.58,87,4.12,light intensity drizzle,100
208,2025-02-20 06:00:00,9.62,91,4.12,mist,100
209,2025-02-20 07:00:00,10.17,93,7.72,drizzle,75
210,2025-02-20 08:00:00,10.65,91,8.75,mist,100
211,2025-02-20 09:00:00,10.95,85,7.72,drizzle,75
212,2025-02-20 10:00:00,11.16,84,12.35,light intensity drizzle,75
213,2025-02-20 11:00:00,11.78,83,10.29,light intensity drizzle,75
214,2025-02-20 12:00:00,11.73,83,10.8,light intensity drizzle rain,75
215,2025-02-20 13:00:00,11.4,81,9.26,mist,75
216,2025-02-20 14:00:00,11.44,80,10.29,mist,75
217,2025-02-18 15:00:00,6.17,49,5.66,clear sky,0
218,2025-02-18 16:00:00,5.64,54,5.66,clear sky,0
219,2025-02-18 17:00:00,3.91,59,4.63,clear sky,0
220,2025-02-18 18:00:00,2.96,65,4.63,clear sky,0
221,2025-02-18 19:00:00,2.87,70,4.12,clear sky,0
222,2025-02-18 20:00:00,2.47,71,4.63,clear sky,0
223,2025-02-18 21:00:00,2.06,70,4.63,clear sky,0
224,2025-02-18 22:00:00,1.85,69,5.66,clear sky,0
225,2025-02-18 23:00:00,1.57,71,5.14,clear sky,0
226,2025-02-19 00:00:00,1.53,69,4.93,overcast clouds,100
227,2025-02-19 01:00:00,1.12,69,4.99,overcast clouds,100
228,2025-02-19 02:00:00,1.04,73,5.17,overcast clouds,100
229,2025-02-19 03:00:00,1.0,70,4.92,overcast clouds,100
230,2025-02-19 04:00:00,1.43,69,4.82,overcast clouds,100
231,2025-02-19 05:00:00,0.84,75,2.06,clear sky,0
232,2025-02-19 06:00:00,1.15,77,1.54,clear sky,0
233,2025-02-19 07:00:00,0.54,81,4.63,clear sky,0
234,2025-02-19 08:00:00,1.68,73,5.14,overcast clouds,100
235,2025-02-19 09:00:00,2.17,77,3.09,clear sky,0
236,2025-02-19 10:00:00,3.76,76,4.63,clear sky,0
237,2025-02-19 11:00:00,5.21,76,3.6,overcast clouds,100
238,2025-02-19 12:00:00,6.2,76,3.6,clear sky,0
239,2025-02-19 13:00:00,6.92,73,3.6,clear sky,0
240,2025-02-19 14:00:00,8.27,73,3.09,clear sky,0
241,2025-02-17 15:00:00,5.53,53,5.66,clear sky,0
242,2025-02-17 16:00:00,4.53,56,6.17,clear sky,0
243,2025-02-17 17:00:00,3.3,64,4.12,clear sky,0
244,2025-02-17 18:00:00,2.44,68,3.6,clear sky,0
245,2025-02-17 19:00:00,1.45,72,4.63,clear sky,0
246,2025-02-17 20:00:00,0.86,74,4.12,clear sky,0
247,2025-02-17 21:00:00,-0.38,75,2.06,clear sky,0
248,2025-02-17 22:00:00,-0.79,75,2.57,clear sky,0
249,2025-02-17 23:00:00,-0.57,76,1.54,clear sky,0
250,2025-02-18 00:00:00,-1.26,71,3.89,overcast clouds,96
251,2025-02-18 01:00:00,-0.79,78,1.03,clear sky,0
252,2025-02-18 02:00:00,-0.82,78,3.09,clear sky,0
253,2025-02-18 03:00:00,-0.73,79,2.57,clear sky,0
254,2025-02-18 04:00:00,-0.55,79,1.03,clear sky,0
255,2025-02-18 05:00:00,-0.78,76,1.54,clear sky,0
256,2025-02-18 06:00:00,-0.46,79,1.03,clear sky,0
257,2025-02-18 07:00:00,-0.47,80,3.6,clear sky,0
258,2025-02-18 08:00:00,-0.46,77,3.09,clear sky,0
259,2025-02-18 09:00:00,0.96,73,2.57,clear sky,0
260,2025-02-18 10:00:00,2.76,71,3.6,clear sky,0
261,2025-02-18 11:00:00,4.34,69,5.14,clear sky,0
262,2025-02-18 12:00:00,6.51,62,4.63,clear sky,0
263,2025-02-18 13:00:00,6.46,61,5.66,clear sky,0
264,2025-02-18 14:00:00,7.3,53,4.63,clear sky,0
265,2025-02-16 15:00:00,4.28,68,5.14,scattered clouds,40
266,2025-02-16 16:00:00,3.15,66,5.14,scattered clouds,40
267,2025-02-16 17:00:00,2.0,68,5.14,broken clouds,75
268,2025-02-16 18:00:00,1.95,71,5.14,broken clouds,75
269,2025-02-16 19:00:00,1.75,70,5.14,broken clouds,75
270,2025-02-16 20:00:00,1.75,70,4.12,broken clouds,75
271,2025-02-16 21:00:00,1.64,72,4.12,broken clouds,75
272,2025-02-16 22:00:00,1.5,74,3.6,broken clouds,75
273,2025-02-16 23:00:00,1.32,72,4.1,overcast clouds,100
274,2025-02-17 00:00:00,0.34,74,1.54,clear sky,0
275,2025-02-17 01:00:00,-1.04,73,1.03,clear sky,0
276,2025-02-17 02:00:00,-1.74,74,1.54,clear sky,0
277,2025-02-17 03:00:00,-1.63,78,2.06,clear sky,0
278,2025-02-17 04:00:00,-2.45,75,2.06,clear sky,0
279,2025-02-17 05:00:00,-2.05,78,3.75,few clouds,24
280,2025-02-17 06:00:00,-1.88,83,4.21,few clouds,17
281,2025-02-17 07:00:00,-1.19,84,2.57,clear sky,0
282,2025-02-17 08:00:00,-1.51,78,2.57,clear sky,0
283,2025-02-17 09:00:00,0.43,76,4.63,clear sky,0
284,2025-02-17 10:00:00,2.42,68,4.63,clear sky,0
285,2025-02-17 11:00:00,3.91,68,5.66,clear sky,0
286,2025-02-17 12:00:00,4.63,61,5.66,clear sky,0
287,2025-02-17 13:00:00,5.23,57,4.63,clear sky,0
288,2025-02-17 14:00:00,5.9,55,5.14,clear sky,0
289,2025-02-15 15:00:00,5.43,72,3.6,broken clouds,75
290,2025-02-15 16:00:00,5.06,75,4.12,light rain,75
291,2025-02-15 17:00:00,3.89,75,3.09,moderate rain,75
292,2025-02-15 18:00:00,2.97,77,4.12,light rain,75
293,2025-02-15 19:00:00,2.34,79,3.6,moderate rain,40
294,2025-02-15 20:00:00,1.95,78,3.6,scattered clouds,40
295,2025-02-15 21:00:00,2.21,81,3.6,broken clouds,75
296,2025-02-15 22:00:00,1.64,78,5.14,broken clouds,75
297,2025-02-15 23:00:00,1.56,76,4.12,broken clouds,75
298,2025-02-16 00:00:00,1.85,78,2.06,broken clouds,75
299,2025-02-16 01:00:00,1.31,79,1.03,broken clouds,75
300,2025-02-16 02:00:00,0.82,79,3.09,few clouds,20
301,2025-02-16 03:00:00,0.33,80,1.54,overcast clouds,100
302,2025-02-16 04:00:00,0.18,80,3.87,overcast clouds,100
303,2025-02-16 05:00:00,0.07,81,2.06,mist,75
304,2025-02-16 06:00:00,0.62,87,2.06,broken clouds,75
305,2025-02-16 07:00:00,1.25,89,5.14,broken clouds,75
306,2025-02-16 08:00:00,1.62,85,5.14,broken clouds,75
307,2025-02-16 09:00:00,1.66,78,5.14,broken clouds,75
308,2025-02-16 10:00:00,2.04,79,6.17,broken clouds,75
309,2025-02-16 11:00:00,2.34,77,5.14,broken clouds,75
310,2025-02-16 12:00:00,3.38,74,4.63,broken clouds,75
311,2025-02-16 13:00:00,4.02,67,5.66,scattered clouds,40
312,2025-02-16 14:00:00,4.12,68,6.69,few clouds,20
313,2025-02-14 15:00:00,5.12,60,5.14,clear sky,0
314,2025-02-14 16:00:00,4.89,59,3.6,clear sky,0
315,2025-02-14 17:00:00,3.27,62,3.09,clear sky,0
316,2025-02-14 18:00:00,1.84,66,3.09,clear sky,0
317,2025-02-14 19:00:00,1.08,70,4.12,clear sky,0
318,2025-02-14 20:00:00,0.84,72,5.14,clear sky,0
319,2025-02-14 21:00:00,0.86,73,4.63,clear sky,0
320,2025-02-14 22:00:00,1.14,73,4.12,clear sky,0
321,2025-02-14 23:00:00,1.45,73,4.63,clear sky,0
322,2025-02-15 00:00:00,1.44,71,3.72,overcast clouds,95
323,2025-02-15 01:00:00,1.75,72,2.57,clear sky,0
324,2025-02-15 02:00:00,1.81,72,3.09,clear sky,0
325,2025-02-15 03:00:00,2.32,80,2.57,clear sky,0
326,2025-02-15 04:00:00,1.61,72,2.57,clear sky,0
327,2025-02-15 05:00:00,1.9,72,3.6,clear sky,0
328,2025-02-15 06:00:00,2.23,78,3.6,clear sky,0
329,2025-02-15 07:00:00,2.43,76,2.57,clear sky,0
330,2025-02-15 08:00:00,2.55,80,3.6,broken clouds,75
331,2025-02-15 09:00:00,3.0,76,3.6,broken clouds,75
332,2025-02-15 10:00:00,3.81,76,3.6,clear sky,0
333,2025-02-15 11:00:00,4.58,74,3.6,few clouds,20
334,2025-02-15 12:00:00,5.05,76,4.63,broken clouds,75
335,2025-02-15 13:00:00,5.36,75,4.63,broken clouds,75
336,2025-02-15 14:00:00,5.83,72,3.09,light rain,75
337,2025-02-13 15:00:00,3.68,74,3.6,broken clouds,75
338,2025-02-13 16:00:00,3.72,70,3.6,broken clouds,75
339,2025-02-13 17:00:00,3.38,73,3.09,broken clouds,75
340,2025-02-13 18:00:00,2.85,73,3.09,broken clouds,75
341,2025-02-13 19:00:00,2.62,73,3.09,broken clouds,75
342,2025-02-13 20:00:00,2.75,72,2.57,broken clouds,75
343,2025-02-13 21:00:00,2.6,71,3.09,broken clouds,75
344,2025-02-13 22:00:00,2.57,69,2.06,broken clouds,75
345,2025-02-13 23:00:00,2.43,70,2.57,broken clouds,75
346,2025-02-14 00:00:00,2.48,71,3.09,broken clouds,75
347,2025-02-14 01:00:00,2.21,73,1.54,broken clouds,75
348,2025-02-14 02:00:00,1.87,73,2.06,broken clouds,75
349,2025-02-14 03:00:00,1.43,73,1.54,broken clouds,75
350,2025-02-14 04:00:00,1.52,71,3.09,broken clouds,75
351,2025-02-14 05:00:00,1.7,76,3.09,broken clouds,75
352,2025-02-14 06:00:00,2.11,73,3.6,broken clouds,75
353,2025-02-14 07:00:00,1.84,71,3.09,broken clouds,75
354,2025-02-14 08:00:00,1.77,72,3.6,broken clouds,75
355,2025-02-14 09:00:00,2.13,70,4.63,few clouds,20
356,2025-02-14 10:00:00,2.42,69,5.14,few clouds,20
357,2025-02-14 11:00:00,3.28,66,5.14,scattered clouds,40
358,2025-02-14 12:00:00,3.83,64,5.66,few clouds,20
359,2025-02-14 13:00:00,4.73,64,4.63,clear sky,0
360,2025-02-14 14:00:00,5.35,59,4.12,clear sky,0
361,2025-02-12 15:00:00,4.82,75,3.09,broken clouds,75
362,2025-02-12 16:00:00,4.63,79,3.09,broken clouds,75
363,2025-02-12 17:00:00,4.4,77,2.06,broken clouds,75
364,2025-02-12 18:00:00,4.23,81,2.06,broken clouds,75
365,2025-02-12 19:00:00,3.96,80,2.57,scattered clouds,40
366,2025-02-12 20:00:00,3.89,82,1.54,broken clouds,75
367,2025-02-12 21:00:00,3.65,79,2.57,broken clouds,75
368,2025-02-12 22:00:00,3.65,80,2.57,broken clouds,75
369,2025-02-12 23:00:00,3.51,77,2.57,overcast clouds,100
370,2025-02-13 00:00:00,3.45,80,2.06,overcast clouds,100
371,2025-02-13 01:00:00,3.23,77,2.06,broken clouds,75
372,2025-02-13 02:00:00,3.37,81,2.06,broken clouds,75
373,2025-02-13 03:00:00,3.23,77,2.06,broken clouds,75
374,2025-02-13 04:00:00,3.17,81,2.57,broken clouds,75
375,2025-02-13 05:00:00,3.14,86,3.6,broken clouds,75
376,2025-02-13 06:00:00,3.12,85,3.6,broken clouds,75
377,2025-02-13 07:00:00,2.96,85,3.6,broken clouds,75
378,2025-02-13 08:00:00,2.96,85,3.09,mist,75
379,2025-02-13 09:00:00,3.18,81,3.09,broken clouds,75
380,2025-02-13 10:00:00,3.48,79,3.09,broken clouds,75
381,2025-02-13 11:00:00,3.59,81,3.6,broken clouds,75
382,2025-02-13 12:00:00,3.86,78,4.12,broken clouds,75
383,2025-02-13 13:00:00,3.75,77,4.12,broken clouds,75
384,2025-02-13 14:00:00,3.72,74,4.12,broken clouds,75
385,2025-02-11 15:00:00,3.81,82,3.09,mist,75
386,2025-02-11 16:00:00,3.72,84,2.57,mist,75
387,2025-02-11 17:00:00,3.53,83,2.06,mist,75
388,2025-02-11 18:00:00,3.42,80,2.06,mist,75
389,2025-02-11 19:00:00,3.34,81,1.54,broken clouds,75
390,2025-02-11 20:00:00,3.37,82,1.54,broken clouds,75
391,2025-02-11 21:00:00,3.41,82,1.54,broken clouds,75
392,2025-02-11 22:00:00,3.31,83,1.54,broken clouds,75
393,2025-02-11 23:00:00,3.15,84,1.03,broken clouds,75
394,2025-02-12 00:00:00,3.18,80,1.54,broken clouds,75
395,2025-02-12 01:00:00,3.13,84,1.54,broken clouds,75
396,2025-02-12 02:00:00,3.03,82,0.51,broken clouds,75
397,2025-02-12 03:00:00,3.13,84,1.03,broken clouds,75
398,2025-02-12 04:00:00,3.05,89,0.51,mist,75
399,2025-02-12 05:00:00,2.93,89,1.03,mist,75
400,2025-02-12 06:00:00,2.86,89,1.54,broken clouds,75
401,2025-02-12 07:00:00,2.84,90,1.54,mist,75
402,2025-02-12 08:00:00,2.89,90,1.54,mist,75
403,2025-02-12 09:00:00,3.26,85,2.06,mist,75
404,2025-02-12 10:00:00,3.6,83,2.06,mist,75
405,2025-02-12 11:00:00,4.08,82,3.09,broken clouds,75
406,2025-02-12 12:00:00,4.31,82,2.57,broken clouds,75
407,2025-02-12 13:00:00,4.75,78,2.57,broken clouds,75
408,2025-02-12 14:00:00,4.89,76,2.57,broken clouds,75
409,2025-02-10 15:00:00,3.13,79,6.17,light intensity drizzle,75
410,2025-02-10 16:00:00,2.8,82,6.69,mist,75
411,2025-02-10 17:00:00,2.46,82,5.66,light rain,75
412,2025-02-10 18:00:00,2.33,84,5.14,light rain,75
413,2025-02-10 19:00:00,2.03,84,6.17,mist,75
414,2025-02-10 20:00:00,1.86,83,5.14,mist,75
415,2025-02-10 21:00:00,1.95,84,5.66,mist,75
416,2025-02-10 22:00:00,2.0,83,5.14,mist,75
417,2025-02-10 23:00:00,2.15,84,4.63,mist,75
418,2025-02-11 00:00:00,2.3,80,3.6,broken clouds,75
419,2025-02-11 01:00:00,2.33,80,3.09,broken clouds,75
420,2025-02-11 02:00:00,2.39,83,3.6,broken clouds,75
421,2025-02-11 03:00:00,2.4,81,2.06,broken clouds,75
422,2025-02-11 04:00:00,2.36,83,2.57,broken clouds,75
423,2025-02-11 05:00:00,2.45,90,2.57,broken clouds,75
424,2025-02-11 06:00:00,2.48,90,2.06,broken clouds,75
425,2025-02-11 07:00:00,2.38,89,2.57,mist,100
426,2025-02-11 08:00:00,2.54,90,2.57,mist,100
427,2025-02-11 09:00:00,2.71,91,2.57,mist,100
428,2025-02-11 10:00:00,2.89,83,3.09,light intensity drizzle,100
429,2025-02-11 11:00:00,3.03,84,3.09,light intensity drizzle,100
430,2025-02-11 12:00:00,3.42,81,3.09,broken clouds,75
431,2025-02-11 13:00:00,3.66,83,3.6,broken clouds,75
432,2025-02-11 14:00:00,3.77,82,2.57,mist,75
433,2025-02-09 15:00:00,5.02,81,5.14,light rain,75
434,2025-02-09 16:00:00,5.05,83,5.14,light intensity drizzle,100
435,2025-02-09 17:00:00,5.03,81,4.12,light intensity drizzle rain,75
436,2025-02-09 18:00:00,4.87,83,4.12,light intensity drizzle rain,75
437,2025-02-09 19:00:00,4.81,84,4.63,light intensity drizzle rain,100
438,2025-02-09 20:00:00,4.71,83,4.63,light intensity drizzle rain,100
439,2025-02-09 21:00:00,4.61,84,5.14,light rain,100
440,2025-02-09 22:00:00,4.16,82,6.17,light intensity drizzle rain,100
441,2025-02-09 23:00:00,3.71,83,5.66,broken clouds,75
442,2025-02-10 00:00:00,3.83,81,4.12,broken clouds,75
443,2025-02-10 01:00:00,3.85,83,4.12,broken clouds,75
444,2025-02-10 02:00:00,3.74,81,1.79,light rain,100
445,2025-02-10 03:00:00,3.58,82,1.79,overcast clouds,100
446,2025-02-10 04:00:00,3.47,83,4.63,broken clouds,75
447,2025-02-10 05:00:00,3.59,88,5.14,broken clouds,75
448,2025-02-10 06:00:00,3.5,89,5.14,broken clouds,75
449,2025-02-10 07:00:00,3.37,86,7.2,light intensity drizzle,75
450,2025-02-10 08:00:00,3.26,87,6.69,broken clouds,75
451,2025-02-10 09:00:00,3.33,87,6.17,broken clouds,75
